№;Месяц;Группировка;Гос. номер;Пробег в поездках;Моточасы;Моточасы в движении;Моточасы без движения;Заправлено;Потрачено по ДУТ всего;Потрачено по ДУТ в движении;Ср. расход по ДУТ всего;Потрачено по ДУТ на холостом ходу;Ср. расход по ДУТ на холостом ходу;Ср. расход по ДУТ в движении;Ср. скорость;Макс. скорость;;
1.1;Январь 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;7 639;191,8;146,5;43,9;2 581;2 528;2 306;34,0;74;1,7;31,1;52;113;;
1.2;Январь 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;17 671;437,9;281,7;119,3;;;;;;;;64;146;;
1.3;Январь 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;3 507;156,0;100,9;53,6;1 299;1 543;1 343;45,6;177;3,3;39,7;34;435;;
1.4;Январь 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;6 942;244,4;143,2;101,0;3 028;2 851;2 594;36,6;240;2,4;32,7;57;230;;
1.5;Январь 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;4 727;199,0;135,2;61,3;1 772;1 983;1 834;41,6;156;2,7;39,2;35;137;;
1.6;Январь 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;11 742;248,2;178,3;68,3;;;;;;;;66;122;;
1.7;Январь 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;7 831;367,2;197,0;165,0;;;;;;;;45;337;;
1.8;Январь 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;2 743;175,5;73,6;101,4;;;;;;;;33;96;;
1.9;Январь 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;8 847;197,9;149,3;48,1;;;;;;;;60;107;;
1.10;Январь 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;3 335;263,3;91,0;171,3;1 667;1 469;1 077;49,0;432;2,5;36,3;34;154;;
1.11;Январь 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;9 165;257,5;165,3;80,5;3 069;2 871;2 593;35,1;172;2,1;31,7;50;143;;
1.12;Январь 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;10 262;320,4;170,0;120,7;3 723;3 636;2 745;41,7;386;3,2;31,6;56;156;;
